Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
COMMUNICATION,2.2,62,34M,Free,0,Everyone,Communication,"April 9, 2018",2.0.3,4.1 and up
MEDICAL,4.6,717,5.4M,Paid,$5.99,Everyone,Medical,"May 31, 2018",6.5.0,5.0 and up
TRAVEL_AND_LOCAL,3.9,13275,71M,Free,0,Everyone,Travel & Local,"July 3, 2018",8.60.0.2586,4.0 and up
FAMILY,4.7,27,772k,Free,0,Everyone,Education,"January 20, 2016",1.0,3.0 and up
PRODUCTIVITY,4.2,16349,9.0M,Free,0,Everyone,Productivity,"April 25, 2016",4.0.7.3,4.1 and up
FINANCE,4.4,32,2.3M,Free,0,Everyone,Finance,"January 13, 2018",2.3,4.4 and up
BOOKS_AND_REFERENCE,4.6,244,4.1M,Free,0,Everyone,Books & Reference,"April 22, 2016",1.0.0,4.0 and up
FINANCE,4.6,1231,14M,Free,0,Everyone,Finance,"June 12, 2018",5.9.1.0,5.0 and up
COMMUNICATION,4.3,4604483,Varies with device,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
FAMILY,4.7,55,5.4M,Free,0,Everyone,Education,"July 3, 2018",1.6.7.1,4.1 and up
SHOPPING,4.1,11798,Varies with device,Free,0,Everyone,Shopping,"May 10, 2018",Varies with device,Varies with device
TOOLS,5.0,6,4.5M,Free,0,Everyone,Tools,"June 5, 2018",1.0.2,4.1 and up
GAME,3.8,1088,86M,Free,0,Teen,Action,"February 16, 2018",1.0.1,4.3 and up
TOOLS,4.6,18,4.0M,Free,0,Everyone,Tools,"April 1, 2018",3.4.5,4.0 and up
FAMILY,4.6,190086,94M,Paid,$2.99,Everyone,Strategy,"July 13, 2018",3.16,2.3.3 and up
FINANCE,4.3,4642,3.5M,Free,0,Everyone,Finance,"July 23, 2018",5.0.0,4.2 and up
GAME,4.5,4449910,67M,Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up
SOCIAL,,2,5.6M,Free,0,Everyone,Social,"October 18, 2017",1.0,2.3 and up
GAME,3.8,16282,35M,Free,0,Teen,Action,"October 9, 2017",1.1.4,2.3 and up
TOOLS,4.2,12147,118k,Free,0,Everyone,Tools,"January 25, 2015",1.18,4.0.3 and up
FAMILY,4.1,942,3.0M,Free,0,Everyone,Role Playing,"January 19, 2017",1.14b,3.0 and up
COMICS,4.6,24005,4.9M,Free,0,Adults only 18+,Comics,"July 4, 2018",1.1.7.0,4.1 and up
FAMILY,3.1,52,9.8M,Free,0,Everyone,Entertainment,"May 4, 2017",1.0,4.0.3 and up
FAMILY,4.2,26426,30M,Free,0,Everyone,Education;Education,"August 2, 2018",4.1.0,4.4 and up
FINANCE,4.4,188,3.3M,Free,0,Everyone,Finance,"July 28, 2018",2.5,4.2 and up
GAME,3.1,440,9.1M,Free,0,Everyone,Arcade,"November 26, 2012",1.0.6,2.1 and up
PRODUCTIVITY,4.4,1188154,24M,Free,0,Everyone,Productivity,"June 14, 2018",4.6.4,4.1 and up
TRAVEL_AND_LOCAL,3.7,27560,46M,Free,0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up
FAMILY,4.7,6,2.5M,Free,0,Teen,Entertainment,"June 19, 2015",2.7,3.0 and up
PHOTOGRAPHY,4.2,240475,9.5M,Free,0,Everyone,Photography,"November 22, 2017",3.8,4.0 and up
ENTERTAINMENT,4.0,29706,19M,Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
BUSINESS,,0,9.7M,Free,0,Everyone,Business,"March 12, 2015",1.0.3,4.0 and up
DATING,3.4,13890,20M,Free,0,Mature 17+,Dating,"June 19, 2018",4.9.2 (Oasis),4.2 and up
FINANCE,4.3,693,32M,Free,0,Teen,Finance,"May 3, 2018",1.0.95,4.2 and up
LIBRARIES_AND_DEMO,3.5,126862,624k,Free,0,Everyone,Libraries & Demo,"January 17, 2012",1.0,2.2 and up
BUSINESS,4.1,16129,Varies with device,Free,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
TOOLS,4.4,4847,3.2M,Free,0,Everyone,Tools,"June 29, 2016",3.0.0.2071,4.0 and up
MEDICAL,,0,1.4M,Free,0,Everyone,Medical,"July 31, 2018",1.0 Super Ear Hearing,4.0 and up
BUSINESS,4.4,74359,25M,Free,0,Everyone,Business,"July 27, 2018",1.12.5,4.0 and up
FAMILY,4.3,218,29M,Free,0,Everyone,Education,"February 15, 2018",6.0.3,4.4 and up
FAMILY,3.5,191,5.0M,Free,0,Everyone,Entertainment,"May 18, 2018",5.0,4.1 and up
FAMILY,4.3,31705,49M,Free,0,Everyone,Simulation,"November 6, 2017",1.7,4.1 and up
PERSONALIZATION,4.5,5783441,14M,Free,0,Everyone,Personalization,"August 6, 2018",3.9.7,4.0.3 and up
BOOKS_AND_REFERENCE,4.5,568922,Varies with device,Free,0,Teen,Books & Reference,"August 1, 2018",Varies with device,Varies with device
BUSINESS,,6,3.7M,Free,0,Teen,Business,"June 25, 2018",1.9.0,5.0 and up
DATING,4.1,305708,Varies with device,Free,0,Mature 17+,Dating,"August 2, 2018",Varies with device,Varies with device
FINANCE,4.5,58,2.7M,Free,0,Everyone,Finance,"December 9, 2015",1.6.3,3.0 and up
PRODUCTIVITY,1.9,63,1.8M,Free,0,Everyone,Productivity,"September 27, 2016",2.0.1027,3.0 and up
SPORTS,3.9,282727,63M,Free,0,Everyone,Sports,"December 7, 2017",18.0.5.172734,4.4 and up
DATING,4.2,40035,6.5M,Free,0,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up
FAMILY,2.8,4,4.2M,Free,0,Everyone,Education,"July 25, 2018",1.2.0,5.0 and up
TRAVEL_AND_LOCAL,3.7,871,45M,Free,0,Everyone,Travel & Local,"October 27, 2017",5.29.23 Domain 253,4.4 and up
FAMILY,3.8,515,85M,Free,0,Everyone,Simulation,"July 20, 2018",7,4.1 and up
FAMILY,4.7,6,5.1M,Free,0,Everyone,Education,"April 1, 2018",1.0,4.0 and up
TOOLS,,0,52M,Free,0,Everyone,Tools,"September 19, 2017",1.0.1,4.0 and up
PHOTOGRAPHY,4.0,21159,36M,Free,0,Everyone,Photography,"January 31, 2018",2.1.9,4.0.3 and up
PRODUCTIVITY,4.4,115072,Varies with device,Free,0,Everyone,Productivity,"July 31, 2018",Varies with device,Varies with device
FAMILY,4.5,3935,9.5M,Free,0,Mature 17+,Entertainment,"June 7, 2018",2.9.8,4.4 and up
FAMILY,4.8,4,23M,Paid,$14.99,Teen,Casual,"January 24, 2018",1.03,2.3.3 and up
FAMILY,4.6,60,2.1M,Free,0,Everyone,Education,"May 1, 2016",1.0,2.2 and up
FINANCE,4.6,57493,Varies with device,Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
FAMILY,4.5,114,69M,Free,0,Everyone,Racing;Action & Adventure,"June 13, 2018",1.4.3,4.2 and up
FINANCE,4.2,11919,23M,Free,0,Everyone,Finance,"July 27, 2018",1.13.2.11,4.4 and up
BOOKS_AND_REFERENCE,,0,5.2M,Paid,$5.49,Everyone,Books & Reference,"August 17, 2014",Android 2.0 - 2014,1.6 and up
FAMILY,,10,3.0M,Free,0,Everyone,Entertainment,"April 14, 2018",1.0,5.0 and up
BEAUTY,,0,3.7M,Free,0,Everyone,Beauty,"March 23, 2018",1,4.1 and up
TOOLS,4.2,19096,10M,Free,0,Everyone,Tools,"July 5, 2018",2.0.2,4.1 and up
FINANCE,4.0,2187,Varies with device,Free,0,Everyone,Finance,"August 1, 2018",Varies with device,Varies with device
ART_AND_DESIGN,4.7,121,3.1M,Free,0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up
GAME,4.4,4396,40M,Free,0,Everyone,Trivia,"April 12, 2017",1.5,2.3 and up
VIDEO_PLAYERS,3.8,19738,33M,Free,0,Teen,Video Players & Editors,"August 7, 2018",9.7.6,4.0 and up
TOOLS,4.1,533,1.4M,Free,0,Everyone,Tools,"July 22, 2017",1.4.13,4.0 and up
FAMILY,4.3,2806,27M,Free,0,Teen,Entertainment,"March 20, 2018",3.6,2.3 and up
SHOPPING,4.2,31519,21M,Free,0,Everyone,Shopping,"June 12, 2018",4.9.1,4.0 and up
HEALTH_AND_FITNESS,,9,992k,Free,0,Everyone,Health & Fitness,"June 4, 2015",1.0,4.0 and up
TRAVEL_AND_LOCAL,5.0,3,2.4M,Free,0,Everyone,Travel & Local,"November 28, 2016",1.1,2.3.3 and up
GAME,3.7,42529,92M,Paid,$1.99,Teen,Action,"November 23, 2016",2.8.2,4.1 and up
ART_AND_DESIGN,4.0,591,9.4M,Free,0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up
SPORTS,3.1,78442,25M,Free,0,Everyone,Sports,"June 22, 2018",5.12.4,4.1 and up
SHOPPING,5.0,2,2.9M,Free,0,Teen,Shopping,"February 16, 2018",1.2,4.1 and up
TRAVEL_AND_LOCAL,,0,5.1M,Free,0,Everyone,Travel & Local,"August 13, 2016",1.0,4.0.3 and up
BEAUTY,4.5,473,8.2M,Free,0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
FAMILY,4.3,4207,26M,Free,0,Everyone,Music;Music & Video,"July 23, 2018",2.180723,4.1 and up
FAMILY,4.1,15246,78M,Free,0,Everyone,Simulation;Action & Adventure,"July 12, 2017",3.2.473.202,4.0 and up
DATING,,104,12M,Free,0,Mature 17+,Dating,"July 22, 2018",3.5.4.2.3,4.1 and up
GAME,4.0,32522,44M,Free,0,Everyone,Racing,"January 25, 2016",1.2.0,2.0 and up
TOOLS,3.6,7357,19M,Free,0,Everyone,Tools,"July 12, 2018",4.4.1,5.0 and up
NEWS_AND_MAGAZINES,4.1,56807,Varies with device,Free,0,Everyone 10+,News & Magazines,"July 30, 2018",Varies with device,Varies with device
LIFESTYLE,4.7,759,15M,Free,0,Everyone 10+,Lifestyle,"January 22, 2018",1.4.5,4.1 and up
FAMILY,4.1,413,930k,Free,0,Everyone,Puzzle,"February 15, 2016",1.6,2.1 and up
NEWS_AND_MAGAZINES,4.5,357944,12M,Free,0,Everyone,News & Magazines,"July 12, 2018",9.1,4.1 and up
PRODUCTIVITY,4.6,38,13M,Free,0,Everyone,Productivity,"July 17, 2018",2.4.0,6.0 and up
FAMILY,4.5,93,1.6M,Free,0,Everyone,Entertainment,"February 5, 2018",INDIRIMBO V.2014.002,1.6 and up
SHOPPING,3.9,34171,Varies with device,Free,0,Everyone,Shopping,"July 24, 2018",Varies with device,Varies with device
SPORTS,,1,26M,Free,0,Everyone,Sports,"February 19, 2018",1.0,4.1 and up
SHOPPING,4.5,6211039,15M,Free,0,Everyone,Shopping,"August 3, 2018",4.20.5,4.1 and up
HEALTH_AND_FITNESS,4.7,14810,Varies with device,Free,0,Everyone,Health & Fitness,"July 24, 2018",Varies with device,Varies with device
HEALTH_AND_FITNESS,4.5,121838,15M,Free,0,Everyone,Health & Fitness,"May 23, 2018",5.5.1,4.0.3 and up
DATING,3.5,241,2.8M,Free,0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up
FINANCE,4.2,347874,Varies with device,Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device
NEWS_AND_MAGAZINES,4.3,296781,Varies with device,Free,0,Everyone 10+,News & Magazines,"July 24, 2018",Varies with device,Varies with device
FINANCE,4.7,7514,14M,Free,0,Everyone,Finance,"July 31, 2018",1.9.9.9.3,4.4 and up
PARENTING,,31,85M,Free,0,Everyone,Parenting;Education,"June 15, 2018",3.2,4.0.3 and up
MAPS_AND_NAVIGATION,4.6,7232629,Varies with device,Free,0,Everyone,Maps & Navigation,"July 29, 2018",Varies with device,Varies with device
GAME,4.4,4638163,96M,Free,0,Everyone 10+,Arcade,"July 19, 2018",1.10.12,4.1 and up
FAMILY,4.3,11950,19M,Free,0,Everyone,Educational;Education,"July 12, 2018",6.1,4.0.3 and up
HEALTH_AND_FITNESS,4.5,559262,Varies with device,Free,0,Everyone,Health & Fitness,"July 11, 2018",Varies with device,Varies with device
PERSONALIZATION,,0,11M,Free,0,Teen,Personalization,"April 13, 2018",1.0,4.1 and up
SPORTS,4.3,926,9.3M,Free,0,Everyone,Sports,"January 17, 2018",5.9,4.1 and up
VIDEO_PLAYERS,4.4,953894,37M,Free,0,Everyone,Video Players & Editors,"April 26, 2018",3.5.1.8,Varies with device
GAME,4.6,125647,33M,Free,0,Everyone,Casual,"July 23, 2018",60,4.1 and up
HOUSE_AND_HOME,,160,3.1M,Free,0,Everyone,House & Home,"September 19, 2017",1.2.0,4.0 and up
SPORTS,4.5,2710,4.8M,Free,0,Everyone,Sports,"November 27, 2017",4.0,4.1 and up
BUSINESS,4.3,171771,3.2M,Free,0,Everyone,Business,"January 15, 2018",2.0.6.4,2.1 and up
FAMILY,4.3,1329192,97M,Free,0,Everyone,Racing;Action & Adventure,"October 4, 2017",2.1.20,2.3.3 and up
GAME,3.3,294,19M,Free,0,Everyone,Arcade,"July 19, 2018",1.0,3.0 and up
MAPS_AND_NAVIGATION,4.4,509,17M,Free,0,Everyone,Maps & Navigation,"June 6, 2018",1.0.7,5.0 and up
ART_AND_DESIGN,4.8,48,25M,Free,0,Everyone,Art & Design,"August 4, 2018",1.1.1,4.1 and up
GAME,4.6,132282,20M,Free,0,Everyone,Adventure,"July 31, 2018",15.0,4.1 and up
FAMILY,,2,4.5M,Free,0,Everyone,Entertainment,"March 20, 2018",1.4.1,4.0.3 and up
TOOLS,4.2,5,31M,Free,0,Everyone,Tools,"April 23, 2018",1.3.3,4.0.3 and up
MAPS_AND_NAVIGATION,3.0,4,Varies with device,Free,0,Everyone,Maps & Navigation,"May 25, 2018",Varies with device,Varies with device
BEAUTY,4.1,9315,2.6M,Free,0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up
TOOLS,,20,7.9M,Free,0,Everyone,Tools,"June 8, 2018",1.2,4.0 and up
FINANCE,4.6,87951,68M,Free,0,Everyone,Finance,"July 23, 2018",9.7.0,4.1 and up
TOOLS,4.4,208,6.0M,Free,0,Everyone,Tools,"June 16, 2016",1.2.1,4.1 and up
GAME,4.7,1125017,25M,Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up
FAMILY,4.3,636995,49M,Free,0,Teen,Casual,"July 31, 2018",4.34.0,4.0.3 and up
FINANCE,3.7,800,32M,Free,0,Everyone,Finance,"June 21, 2018",2.16.5426,4.4 and up
GAME,4.3,11379,20M,Free,0,Everyone 10+,Arcade,"July 29, 2018",1.4,4.0.3 and up
GAME,4.0,154108,78M,Free,0,Everyone,Racing,"October 13, 2015",1.4.2,2.3 and up
GAME,4.5,24210,45M,Free,0,Teen,Action,"November 13, 2015",1.091,2.2 and up
NEWS_AND_MAGAZINES,3.5,254,38M,Free,0,Everyone 10+,News & Magazines,"June 20, 2018",5.9.5,5.0 and up
TOOLS,3.9,167,2.5M,Free,0,Everyone,Tools,"November 8, 2017",1.0,4.0.3 and up
SPORTS,,27,3.6M,Free,0,Everyone,Sports,"October 7, 2017",0.22,4.1 and up
SPORTS,4.2,42767,72M,Free,0,Everyone,Sports,"July 26, 2018",2.0.5,4.3 and up
TOOLS,,0,2.5M,Free,0,Everyone,Tools,"February 5, 2017",1.0,2.3 and up
VIDEO_PLAYERS,4.0,46,3.1M,Free,0,Everyone,Video Players & Editors,"April 20, 2015",1.0.6,3.0 and up
TRAVEL_AND_LOCAL,3.7,16815,28M,Free,0,Everyone,Travel & Local,"July 15, 2018",3.1.3,5.0 and up
FINANCE,,1,2.5M,Free,0,Everyone,Finance,"December 16, 2015",1.0.5,4.0 and up
DATING,3.9,852,27M,Free,0,Mature 17+,Dating,"July 30, 2018",6.4.6,4.1 and up
GAME,4.2,3878,69M,Free,0,Everyone,Action,"April 4, 2018",1.9,4.0.3 and up
TOOLS,4.2,428581,4.7M,Free,0,Everyone,Tools,"July 17, 2018",1.33,4.0 and up
GAME,4.1,1728557,Varies with device,Free,0,Everyone,Card,"September 20, 2017",Varies with device,Varies with device
TOOLS,4.2,91186,6.3M,Free,0,Everyone,Tools,"May 22, 2018",2.0.9,4.0 and up
LIFESTYLE,4.2,894,25M,Free,0,Everyone,Lifestyle,"April 9, 2018",5.600.42,4.0.3 and up
LIFESTYLE,4.6,147,9.8M,Free,0,Everyone,Lifestyle,"May 2, 2017",1.0.1,4.0 and up
SOCIAL,3.4,622,Varies with device,Free,0,Mature 17+,Social,"May 23, 2018",Varies with device,Varies with device
PRODUCTIVITY,,0,4.0M,Free,0,Everyone,Productivity,"July 24, 2018",1.0.2,4.1 and up
BOOKS_AND_REFERENCE,4.7,6547,16M,Free,0,Everyone,Books & Reference,"December 8, 2017",4.0.3,4.0.3 and up
TOOLS,4.6,894435,3.1M,Free,0,Teen,Tools,"July 1, 2018",2.2.8,4.0 and up
FAMILY,4.9,55,40M,Free,0,Everyone,Puzzle,"August 3, 2018",108,4.1 and up
FINANCE,4.2,6148,10M,Free,0,Everyone,Finance,"June 1, 2018",1.14.1,4.1 and up
FAMILY,4.3,556929,53M,Free,0,Teen,Casual,"April 19, 2018",4.2.1,4.0.3 and up
PRODUCTIVITY,4.5,23089,1.6M,Free,0,Everyone,Productivity,"April 11, 2018",1.10.0.33_180403,5.0 - 8.0
FOOD_AND_DRINK,4.7,51543,Varies with device,Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device,Varies with device
TRAVEL_AND_LOCAL,4.6,14,4.0M,Free,0,Everyone,Travel & Local,"April 12, 2018",1.0,4.0 and up
TRAVEL_AND_LOCAL,4.1,26871,Varies with device,Free,0,Everyone,Travel & Local,"July 26, 2018",1.10.0.205086730,4.1 and up
PRODUCTIVITY,4.9,42,38M,Free,0,Everyone,Productivity,"May 26, 2018",1.4,4.0 and up
LIBRARIES_AND_DEMO,3.8,912,13M,Free,0,Everyone,Libraries & Demo,"January 9, 2018",2.0.0,2.3 and up
BUSINESS,4.4,31614,37M,Free,0,Everyone,Business,"July 20, 2018",4.1.28165.0716,4.0 and up
FAMILY,5.0,5,8.1M,Free,0,Teen,Puzzle,"December 1, 2016",1.0,4.0 and up
GAME,4.6,20,34M,Free,0,Mature 17+,Action,"May 4, 2018",1.0,4.0 and up
GAME,3.8,3543,Varies with device,Free,0,Teen,Card,"March 10, 2018",Varies with device,Varies with device
DATING,,0,19M,Free,0,Everyone,Dating,"July 16, 2018",1.0,4.0.3 and up
SOCIAL,,2,53M,Free,0,Teen,Social,"July 21, 2018",1.16.5,4.1 and up
GAME,4.7,403911,23M,Free,0,Everyone,Card,"June 24, 2018",2.277.0,4.1 and up
FINANCE,4.2,347838,Varies with device,Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device
PERSONALIZATION,4.3,71688,12M,Free,0,Everyone,Personalization,"June 11, 2018",3.5,4.1 and up
HEALTH_AND_FITNESS,4.5,501144,Varies with device,Free,0,Everyone,Health & Fitness,"July 16, 2018",Varies with device,Varies with device
SHOPPING,4.0,13085,2.7M,Free,0,Teen,Shopping,"November 8, 2017",5.1,4.0.3 and up
TOOLS,4.2,513,2.0M,Free,0,Everyone,Tools,"May 6, 2018",5.0.5,4.0 and up
SHOPPING,,19,19M,Free,0,Everyone,Shopping,"May 9, 2017",1.0.1,4.0.3 and up
SHOPPING,,0,19M,Free,0,Teen,Shopping,"July 2, 2018",5.13.1,4.1 and up
FAMILY,4.8,171,1.0M,Paid,$10.00,Everyone,Education,"October 18, 2016",1.7.0,2.2 and up
VIDEO_PLAYERS,4.6,9879473,40M,Free,0,Teen,Video Players & Editors,"August 4, 2018",7.2.1,4.1 and up
PARENTING,4.6,1413,14M,Free,0,Mature 17+,Parenting,"July 20, 2018",2.9.9,4.1 and up
TOOLS,4.0,18478,1.7M,Free,0,Everyone,Tools,"August 4, 2018",1.0.5,2.3 and up
LIBRARIES_AND_DEMO,4.7,831,24M,Free,0,Everyone,Libraries & Demo,"February 20, 2018",8.0,2.3 and up
FAMILY,4.3,24936,38M,Free,0,Everyone,Educational;Education,"May 16, 2018",3.1,4.1 and up
FAMILY,4.1,681,48M,Free,0,Everyone,Education,"July 3, 2014",1.2,2.2 and up
PRODUCTIVITY,4.3,52677,2.9M,Free,0,Everyone,Productivity,"December 13, 2017",3.3,4.0 and up
LIFESTYLE,,2,3.2M,Free,0,Everyone,Lifestyle,"May 22, 2018",1.0,4.0 and up
SOCIAL,4.0,479908,15M,Free,0,Mature 17+,Social,"July 9, 2018",1.23.3.0,4.4 and up
WEATHER,4.2,11510,3.5M,Free,0,Everyone,Weather,"August 28, 2014",1.4,2.2 and up
HEALTH_AND_FITNESS,4.6,318134,Varies with device,Free,0,Everyone,Health & Fitness,"May 29, 2018",Varies with device,Varies with device
TOOLS,4.5,465831,8.9M,Free,0,Everyone,Tools,"July 23, 2018",1.5.9.9,4.0 and up
MEDICAL,4.5,20,40M,Free,0,Everyone,Medical,"April 10, 2018",10.4.1.000_00,4.0.3 and up
PERSONALIZATION,4.7,8642,3.7M,Free,0,Everyone,Personalization,"May 22, 2018",1.1.6,4.0 and up
ENTERTAINMENT,3.9,801,57M,Free,0,Teen,Entertainment,"March 21, 2018",4.003.1,4.3 and up
MEDICAL,,0,4.8M,Free,0,Everyone,Medical,"July 18, 2018",1.0,4.0 and up
COMMUNICATION,4.4,401530,Varies with device,Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
HOUSE_AND_HOME,4.2,27387,Varies with device,Free,0,Everyone,House & Home,"June 21, 2018",Varies with device,Varies with device
SOCIAL,4.9,29,2.5M,Free,0,Everyone,Social,"March 20, 2018",5.0,5.0 and up
HEALTH_AND_FITNESS,3.5,217,9.4M,Free,0,Teen,Health & Fitness,"August 23, 2017",4.6.2,4.0.3 and up
FAMILY,3.4,79,33M,Free,0,Everyone,Education,"May 27, 2015",1.03,3.0 and up
PRODUCTIVITY,4.4,936,5.4M,Paid,$2.99,Everyone,Productivity,"June 17, 2018",2.96,4.0 and up
ENTERTAINMENT,4.2,123279,25M,Free,0,Everyone 10+,Entertainment;Music & Video,"January 24, 2018",2.0.8,4.4 and up
FAMILY,3.9,46,20M,Paid,$2.99,Everyone,Puzzle,"January 29, 2018",1.0.6,2.3 and up
BUSINESS,4.6,188841,3.2M,Free,0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up
LIFESTYLE,4.4,95557,16M,Free,0,Everyone,Lifestyle,"July 23, 2018",7.0.8,4.0.3 and up
DATING,4.2,57083,7.9M,Free,0,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up
SHOPPING,2.3,69,11M,Free,0,Everyone,Shopping,"March 19, 2018",1.0.16,4.4 and up
GAME,4.5,214819,91M,Free,0,Everyone,Puzzle,"July 30, 2018",3.6.0,4.1 and up
PHOTOGRAPHY,4.4,16523,Varies with device,Free,0,Everyone,Photography,"July 30, 2018",1.2.31,4.1 and up
TOOLS,2.8,29,14M,Free,0,Everyone,Tools,"April 24, 2017",2.3.26,4.0.3 and up
SPORTS,4.2,18678,Varies with device,Free,0,Everyone,Sports,"April 25, 2018",Varies with device,Varies with device
FAMILY,4.3,539,13M,Free,0,Everyone,Entertainment,"August 1, 2018",1.3,4.2 and up
GAME,4.6,408292,29M,Paid,$0.99,Mature 17+,Action,"July 12, 2018",1.7.110758,4.1 and up
VIDEO_PLAYERS,3.3,171,4.8M,Free,0,Everyone,Video Players & Editors,"August 10, 2017",1.1,4.1 and up
FINANCE,4.4,18,3.4M,Free,0,Everyone,Finance,"January 21, 2017",1.1,3.0 and up
PERSONALIZATION,3.9,35,6.3M,Free,0,Everyone,Personalization,"July 1, 2018",0.9.3,5.0 and up
FINANCE,,1,2.0M,Free,0,Everyone,Finance,"January 30, 2018",1.0.0.0,4.3 and up
WEATHER,,0,3.9M,Free,0,Everyone,Weather,"April 13, 2018",1.0,5.0 and up
COMMUNICATION,4.2,10,3.1M,Free,0,Everyone,Communication,"April 28, 2016",1.0,2.3 and up
GAME,4.6,520962,39M,Free,0,Teen,Action,"June 28, 2017",108,4.0 and up
FAMILY,4.1,44027,52M,Free,0,Mature 17+,Strategy,"February 21, 2018",1.0.9,2.3 and up
GAME,4.3,20691,89M,Free,0,Everyone,Racing,"July 31, 2018",5.7.1,4.4 and up
FAMILY,3.6,217,4.9M,Paid,$389.99,Everyone,Entertainment,"June 22, 2018",1.5,4.2 and up
GAME,4.4,22430188,74M,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up
FAMILY,4.5,45458,35M,Free,0,Mature 17+,Entertainment,"August 3, 2018",1.5.49,4.4 and up
LIFESTYLE,3.9,77,Varies with device,Free,0,Everyone,Lifestyle,"March 26, 2018",Varies with device,Varies with device
GAME,3.9,8122,23M,Free,0,Mature 17+,Action,"February 28, 2017",1.8,2.3 and up
FAMILY,3.9,314,28M,Free,0,Everyone,Casual,"January 15, 2018",1.1,5.1 and up
TOOLS,4.3,996,10M,Free,0,Everyone,Tools,"September 28, 2017",2.3,4.0.3 and up
FOOD_AND_DRINK,3.9,464,28M,Free,0,Everyone,Food & Drink,"May 22, 2018",2.6.15,4.4 and up
MEDICAL,4.8,216,Varies with device,Paid,$6.99,Everyone,Medical,"June 17, 2017",Varies with device,Varies with device
LIBRARIES_AND_DEMO,,2221,2.4M,Free,0,Everyone,Libraries & Demo,"January 8, 2017",1.1,2.3 and up
COMMUNICATION,4.3,11335481,Varies with device,Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
FAMILY,4.7,227401,91M,Free,0,Everyone,Puzzle,"July 19, 2018",1.5.0,5.0 and up
GAME,4.7,183343,20M,Free,0,Teen,Casino,"May 28, 2018",1.5.1,2.3 and up
PRODUCTIVITY,3.8,5107,1.4M,Free,0,Everyone,Productivity,"December 28, 2015",1.6.3,2.3 and up
TRAVEL_AND_LOCAL,4.5,7153,Varies with device,Free,0,Everyone,Travel & Local,"July 30, 2018",Varies with device,Varies with device
PRODUCTIVITY,4.6,6320,6.3M,Free,0,Everyone,Productivity,"December 10, 2016",2.0,4.4 and up
FAMILY,4.3,131,2.0M,Free,0,Everyone,Education,"November 17, 2016",3.3.1,2.2 and up
SOCIAL,,6,10M,Free,0,Teen,Social,"December 26, 2016",1.3,4.1 and up
FAMILY,3.8,1123,5.7M,Free,0,Everyone,Board;Brain Games,"September 8, 2016",4.2,2.3 and up
PERSONALIZATION,4.8,5,35M,Paid,$0.99,Everyone,Personalization,"April 22, 2018",1.1,4.1 and up
VIDEO_PLAYERS,3.3,439,35M,Free,0,Everyone,Video Players & Editors,"March 4, 2016",0.7.9,4.0 and up
BUSINESS,3.7,3,11M,Paid,$2.49,Everyone,Business,"June 30, 2014",v3,2.2 and up
PRODUCTIVITY,4.2,2412,192k,Free,0,Everyone,Productivity,"September 27, 2012",0.1.8 beta,2.2 and up
FAMILY,4.8,22290,13M,Free,0,Everyone,Puzzle,"August 5, 2018",18.08.05,4.0 and up
FAMILY,4.5,736824,20M,Free,0,Teen,Entertainment,"January 19, 2018",3.17.2,4.1 and up
VIDEO_PLAYERS,4.8,5639,Varies with device,Paid,$1.49,Everyone,Video Players & Editors,"September 7, 2017",Varies with device,Varies with device
SPORTS,4.3,989344,51M,Free,0,Teen,Sports,"July 23, 2018",1.640,4.0 and up
VIDEO_PLAYERS,,2,6.9M,Free,0,Everyone,Video Players & Editors,"June 9, 2016",6.1.0,4.0 and up
MEDICAL,4.7,6,13M,Free,0,Everyone,Medical,"March 31, 2018",1.3.0,5.0 and up
PRODUCTIVITY,4.3,226295,4.2M,Free,0,Everyone,Productivity,"June 6, 2018",4.3.19,2.3.3 and up
NEWS_AND_MAGAZINES,,2,5.7M,Free,0,Everyone,News & Magazines,"May 9, 2016",1.1,4.0.3 and up
